ACCION;BIEN;ESPACIO;CATEGORIZACION DEL BIEN ;CATEGORIZACION DEL  ESPACIO;TIPO DE ACCION;METODOLOGIA // VERIFICAR;FRECUENCIA S/PLIEGO;FRECUENCIA REQUERIDA;DURACION ESTIMADA;QTY. RECURSOS
Limpieza;;Planta baja;;Planta baja;Basica;;permanente;;;
Limpieza;;Palieres;;Palieres;Basica;;permanente;;;
Limpieza;Escaleras;;De marmol o granitico;;Basica;Barrido, lavado, secado, repasado de barandas, zocalos y laterales, eliminacion de manchas en paredes de la caja de la escalera;diaria;;;
Limpieza;Escaleras;;De madera;;Basica;Idem pisos de madera;diaria;;;
Limpieza;Escaleras;;De goma;;Basica;idem pisos de goma;diaria;;;
Limpieza;Escaleras;;De cemento, escalera de escape;;Basica;Barrido, repaso barandas, zocalos y laterales;diaria;;;
Limpieza;Escaleras;;Mecanicas;;Basica;Limpieza y desengrasado;2 veces dia;;;
Limpieza;Montacargas;;Montacargas;;;;;;;
Limpieza;;Baños ;;Baños generales;Basica;Provision de toallas en baños;permanente;;;
Limpieza;;Baños ;;Baños generales;Intermedia;Provision de papel higienico en baños;permanente;;;
Limpieza;;Baños ;;Baños generales;Profunda;Provision de jabon y desodorantes en baños;permanente;;;
Limpieza;;Baños ;;Baños privados;Basica;Limpieza general;permanente;;;
Limpieza;;Baños ;;Baños generales;Adicional ;Adicional media mañana rociar con agua lavandina;2 veces dia;;;
Limpieza;;Baños ;;De uso publico intensivo;Adicional ;Adicional mañana rociar con agua lavandina;2 veces por mañana;;;
Liimpieza;;Baños ;;De uso publico intensivo;Adicional ;Adicional tarde rociar con agua lavandina;2 veces por la tarde;;;
Limpieza;Ascensores;;;Ascensores;Basica;Limpieza general;permanente;;;
Limpieza;Mobiliario;;Escritorio ;;Basica;Limpieza con desengrasante, secado ;diaria;;;
Limpieza;Mobiliario;;Sillas;;Basica;Limpieza con desengrasante, secado ;diaria;;;
Limpieza;Mobiliario;;Armario;;Basica;Limpieza con desengrasante, secado ;diaria;;;
Limpieza;Mobiliario;;Mesa;;Basica;Limpieza con desengrasante, secado ;diaria;;;
