PLANTA;CODIGO-ESPACIO;CODIFICACION;NOMBRE;SECTOR;AMBIENTE;TIPOLOGIA-1;TIPOLOGIA-2
PB;PB-001-S.F;001-S.F;001-Sala Filatelia;Noble;Interior;Sala;
PB;PB-H-A-A;H-A-A;Hall A-A;Noble;Interior;Hall;
PB;PB-AS-28-PB;AS-28-PB;Ascensor 28;Noble;Interior;Ascensor;
PB;PB-H-A ;H-A ;HALL A ;Noble;Interior;Hall;
PB;PB-H-A-B;H-A-B;HALL A-B;Noble;Interior;Hall;
PB;PB-AS-29-PB;AS-29-PB;Ascensor 29;Noble;Interior;Ascensor;
PB;PB-011-S;011-S;011-Sala;Noble;Interior;Sala;
PB;PB-E-01-PB;E-01-PB;Escalera 01;Noble;Interior;Escalera;
PB;PB-P.PB.E-01;P.PB.E-01;Pasillo PB Escalera 01;Noble;Interior;Pasillo;
PB;PB-AS-01-PB;AS-01-PB;Ascensor 01;Noble;Interior;Ascensor;
PB;PB-AS-02-PB;AS-02-PB;Ascensor 02;Noble;Interior;Ascensor;
PB;PB-AS-01/02;AS-01/02;Pasillo PB Ascensor 01/02;Noble;Interior;Pasillo;
PB;PB-H-B-A;H-B-A;HALL B-A;Noble;Interior;Hall;
PB;PB-H-B;H-B;HALL B ;Noble;Interior;Hall;
PB;PB-H-B-B;H-B-B;HALL B-B;Noble;Interior;Hall;
PB;PB-P.PB.E-02;P.PB.E-02;Pasillo PB Escalera 02;Noble;Interior;Pasillo;
PB;PB-E-02-PB;E-02-PB;Escalera 02;Noble;Interior;Escalera;
PB;PB-P.PB.AS-03/04;P.PB.AS-03/04;Pasillo PB Ascensor 03/04;Noble;Interior;Pasillo;
PB;PB-AS-03-PB;AS-03-PB;Ascensor 03;Noble;Interior;Ascensor;
PB;PB-AS-04-PB;AS-04-PB;Ascensor 04;Noble;Interior;Ascensor;
PB;PB-022-ACC.P;022-ACC.P;002-Acceso Personal;Noble;Interior;Acceso;
PB;PB-S.D.L.A;S.D.L.A;Salón de las Américas;Noble;Interior;Sala;
PB;PB-E-28-PB;E-28-PB;Escalera 28;Noble;Interior;Escalera;
PB;PB-P.PB.E-28;P.PB.E-28;Pasillo PB Escalera 28;Noble;Interior;Pasillo;
PB;PB-AS-05-PB;AS-05-PB;Ascensor 05;Noble;Interior;Ascensor;
PB;PB-AS-06-PB;AS-06-PB;Ascensor 06;Noble;Interior;Ascensor;
PB;PB-AS-07-PB;AS-07-PB;Ascensor 07;Noble;Interior;Ascensor;
PB;PB-P.PB.AS-05/06/07;P.PB.AS-05/06/07;Pasillo PB Ascensor 05/06/07;Noble;Interior;Pasillo;
PB;PB-P.PB.H.C-A;P.PB.H.C-A;Pasillo PB Hall C-Alem;Noble;Interior;Pasillo;
PB;PB-H-C;H-C;Hall C;Noble;Interior;Hall;
PB;PB-P.PB.H.C-B;P.PB.H.C-B;Pasillo PB Hall C-Bouchard;Noble;Interior;Pasillo;
PB;PB-P.PB.AS-08/09/10;P.PB.AS-08/09/10;Pasillo PB Ascensor 08/09/10;Noble;Interior;Pasillo;
PB;PB-AS-08-PB;AS-08-PB;Ascensor 08;Noble;Interior;Ascensor;
PB;PB-AS-09-PB;AS-09-PB;Ascensor 09;Noble;Interior;Ascensor;
PB;PB-AS-10-PB;AS-10-PB;Ascensor 10;Noble;Interior;Ascensor;
PB;PB-P.PB.E-29;P.PB.E-29;Pasillo PB Escalera 29;Noble;Interior;Pasillo;
PB;PB-E-29-PB;E-29-PB;Escalera 29;Noble;Interior;Escalera;
PB;PB-P.PB.E-12;P.PB.E-12;Pasillo PB Escalera 12;Noble;Interior;Pasillo;
PB;PB-E-12-PB;E-12-PB;Escalera 12;Noble;Interior;Escalera;
PB;PB-S.U;S.U;Salón UNASUR;Noble;Interior;Sala;
PB;PB-010-L.C;010-L.C;010-Local Comercial;Noble;Interior;Local;
PB;PB-003-O.CTO;003-O.CTO;003-Oficina CTO;Transicion;Interior;Oficina;
PB;PB-E-03-PB;E-03-PB;Escalera 03;Transicion;Interior;Escalera;
PB;PB-AS-11-PB;AS-11-PB;Ascensor 11;Transicion;Interior;Ascensor;
